ID,_Type,_Name,_Image,_Disable_Left,_Disable_Top,_Disable_Right,_Disable_Bottom,_Enable_Left,_Enable_Top,_Enable_Right,_Enable_Bottom,_MouseOver_Left,_MouseOver_Top,_MouseOver_Right,_MouseOver_Bottom,_Click_Left,_Click_Top,_Click_Right,_Click_Bottom,_Select_Left,_Select_Top,_Select_Right,_Select_Bottom,_PullDown_Enable_Left,_PullDown_Enable_Top,_PullDown_Enable_Right,_PullDown_Enable_Bottom,_PullDown_MouseOver_Left,_PullDown_MouseOver_Top,_PullDown_MouseOver_Right,_PullDown_MouseOver_Bottom,_PullDown_Click_Left,_PullDown_Click_Top,_PullDown_Click_Right,_PullDown_Click_Bottom,_PullDown_Select_Left,_PullDown_Select_Top,_PullDown_Select_Right,_PullDown_Select_Bottom,_Disable_Red,_Disable_Green,_Disable_Blue,_Enable_Red,_Enable_Green,_Enable_Blue,_MouseOver_Red,_MouseOver_Green,_MouseOver_Blue,_Click_Red,_Click_Green,_Click_Blue,_Select_Red,_Select_Green,_Select_Blue,_PullDown_Enable_Red,_PullDown_Enable_Green,_PullDown_Enable_Blue,_PullDown_MouseOver_Red,_PullDown_MouseOver_Green,_PullDown_MouseOver_Blue,_PullDown_Click_Red,_PullDown_Click_Green,_PullDown_Click_Blue,_PullDown_Select_Red,_PullDown_Select_Green,_PullDown_Select_Blue,_Bold,_Horizontal_Align,_Vertical_Align,_Left_Margin
280,2,濰綠璽,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
290,2,鼻渠 薑爾 爾晦,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
300,1,謙猿璽,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,320,259,338,87,282,259,300,87,282,259,300,87,301,259,319,87,301,259,319,87,301,259,319,87,301,259,319,87,282,259,300,87,282,259,300,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,1,1,2,23
310,2,謙猿璽,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
320,2,瓣割滲唳,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
330,2,議葛攪 摹鷗,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
400,1,褫暮,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,320,259,338,87,282,259,300,87,282,259,300,87,301,259,319,87,301,259,319,87,301,259,319,87,301,259,319,87,282,259,300,87,282,259,300,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,1,1,2,23
410,2,褫暮璽,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
420,2,欽蹴酈 撲薑,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
500,1,裘爾晦,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,320,259,338,87,282,259,300,87,282,259,300,87,301,259,319,87,301,259,319,87,301,259,319,87,301,259,319,87,282,259,300,87,282,259,300,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,1,1,2,23
510,2,ん驍 檜辨ж晦,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
520,2,錯萄裘 翮晦,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
530,2,錯萄裘 薑爾,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
540,2,撮睡裘 翮晦,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
550,2,撮睡裘 薑爾,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
560,2,錯萄裘&撮睡裘 嘐棲幗瞪,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
570,2,嘐棲裘,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
600,1,蠡蝶お,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,320,259,338,87,282,259,300,87,282,259,300,87,301,259,319,87,301,259,319,87,301,259,319,87,301,259,319,87,282,259,300,87,282,259,300,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,1,1,2,23
610,2,蠡蝶お 嫡晦,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
620,2,蠡蝶お 諫猿ж晦,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
630,2,蠡蝶お 跡煙,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
640,2,蠡蝶お 憲葡璽,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
650,2,蠡蝶お 紫辦嘐,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
660,2,蠡蝶お 嬪纂 ル衛,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
670,2,蠡蝶お в攪葭,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
700,1,蝶鑒,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,320,259,338,87,282,259,300,87,282,259,300,87,301,259,319,87,301,259,319,87,301,259,319,87,301,259,319,87,282,259,300,87,282,259,300,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,1,1,2,23
710,2,蝶鑒璽,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
720,2,蝶鑒 寡辦晦,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
730,2,蝶鑒 溯漣機,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
800,1,だじ,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,320,259,338,87,282,259,300,87,282,259,300,87,301,259,319,87,301,259,319,87,301,259,319,87,301,259,319,87,282,259,300,87,282,259,300,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,1,1,2,23
810,2,だじ璽,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
820,2,だじ 憲葡璽,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
830,2,だじ 蟾渠,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
840,2,だじ 撲薑,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
850,2,だじ 驍黴,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
900,1,だじ 衙蘆,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,320,259,338,87,282,259,300,87,282,259,300,87,301,259,319,87,301,259,319,87,301,259,319,87,301,259,319,87,282,259,300,87,282,259,300,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,1,1,2,23
910,2,だじ 衙蘆,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
920,2,だじ 蛔煙,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
930,2,だじ 霤罹,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
1000,1,檣蝶欐蝶 湍瞪,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,320,259,338,87,282,259,300,87,282,259,300,87,301,259,319,87,301,259,319,87,301,259,319,87,301,259,319,87,282,259,300,87,282,259,300,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,1,1,2,23
1010,2,檣蝶欐蝶 湍瞪,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
1020,2,檣蝶欐蝶 湍瞪 �蝦鶬灰�,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
1030,2,跨蝶攪 顫錶,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
1040,2,跨蝶攪 顫錶殮濰,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
1050,2,屬煎撮遺,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
1060,2,屬煎撮遺 濰綠,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
1070,2,屬煎撮遺 陪檜紫,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
1080,2,顫歜橫鷗檣蝶欐蝶湍瞪,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
1090,2,顫歜橫鷗檣蝶欐蝶湍瞪衛濛,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
1100,1,瞪霜,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,320,259,338,87,282,259,300,87,282,259,300,87,301,259,319,87,301,259,319,87,301,259,319,87,301,259,319,87,282,259,300,87,282,259,300,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,1,1,2,23
1110,2,1離瞪霜,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
1120,2,霜機滌 1離 瞪霜 霜機,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
1130,2,2離瞪霜,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
1140,2,霜機滌 2離 瞪霜 霜機,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
1150,2,瞪霜 輿曖餌о,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
1200,1,嬪纂盪濰 塽 檜翕,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,320,259,338,87,282,259,300,87,282,259,300,87,301,259,319,87,301,259,319,87,301,259,319,87,301,259,319,87,282,259,300,87,282,259,300,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,1,1,2,23
1210,2,"檜葬蝶 戮鱉,敝�素� 綠戮",DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
1220,2,"綠戮,戮鱉 盪濰ж晦",DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
1230,2,睡�偯撘� 摹鷗ж晦,DATA/INTERFACE/CONCEPT/UI_Object_004.png,87,358,259,376,87,339,259,357,87,377,259,395,87,396,259,414,87,396,259,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,31,50,75,77,144,189,31,50,75,31,50,75,31,50,75,77,144,189,31,50,75,31,50,75,0,1,2,23
